area_name,zone,property_type,rate_per_sqft,appreciation_5yr,rental_yield,data_source
Thakur Village,Kashimira,Residential,7743,38.1,3.67,synthetic
Maxus Mall Residency,Kashimira,Residential,8467,18.0,3.42,synthetic
Acme Ozone,Mira Road West,Residential,7622,35.3,2.83,synthetic
Sheetal Tapovan,Mira Road West,Residential,10115,28.5,3.33,synthetic
Thakur Village,Kashimira,Residential,7731,43.2,3.98,synthetic
Shree Krishna Towers,Mira Road West,Residential,7496,43.2,4.1,synthetic
Golden Nest,Mira Road West,Residential,7074,42.8,2.65,synthetic
Kanakia Paris,Mira Road West,Residential,9949,30.7,3.38,synthetic
Sheetal Tapovan,Mira Bhayandar,Residential,8966,29.7,3.33,synthetic
Lodha Splendora,Mira Road East,Residential,7493,15.4,4.45,synthetic
Lodha Splendora,Mira Road West,Residential,9388,28.3,3.59,synthetic
Thakur Village,Mira Road East,Residential,9139,20.3,4.3,synthetic
Sheetal Tapovan,Mira Road East,Residential,6919,17.7,3.9,synthetic
Sheth Vasant Oasis,Mira Road East,Residential,9205,42.9,4.08,synthetic
Silver Park,Mira Road West,Residential,8221,41.7,4.32,synthetic
Gundecha Valley,Mira Bhayandar,Residential,7580,36.0,3.02,synthetic
Haware Citi,Mira Road East,Residential,8461,33.7,3.76,synthetic
Shree Krishna Towers,Mira Road East,Residential,8228,24.9,3.29,synthetic
Beverly Park,Mira Road East,Residential,8442,37.7,3.06,synthetic
Acme Ozone,Mira Road East,Residential,9282,37.1,2.82,synthetic
Sheth Vasant Oasis,Kashimira,Residential,7532,30.4,2.57,synthetic
Acme Ozone,Mira Bhayandar,Residential,7209,39.0,3.0,synthetic
Sheetal Tapovan,Kashimira,Residential,6776,30.5,3.1,synthetic
Evershine Millennium Paradise,Mira Bhayandar,Residential,7335,16.7,3.98,synthetic
Beverly Park,Mira Road East,Residential,7821,21.6,3.48,synthetic
Lodha Splendora,Mira Road West,Residential,7846,18.8,3.75,synthetic
Sheetal Tapovan,Mira Bhayandar,Residential,8499,27.7,4.2,synthetic
Gundecha Valley,Mira Bhayandar,Residential,7534,32.2,4.15,synthetic
Acme Ozone,Mira Bhayandar,Residential,8364,25.2,3.96,synthetic
Beverly Park,Mira Bhayandar,Residential,8146,17.1,3.05,synthetic
Shree Krishna Towers,Mira Road West,Residential,7175,18.9,3.57,synthetic
Acme Ozone,Mira Road East,Residential,7778,44.4,3.28,synthetic
Gundecha Valley,Kashimira,Residential,8650,23.5,4.09,synthetic
Evershine Millennium Paradise,Mira Road East,Residential,6524,21.8,4.15,synthetic
Thakur Village,Mira Road West,Residential,9936,20.9,3.75,synthetic
Acme Ozone,Kashimira,Residential,7786,29.9,4.31,synthetic
Acme Ozone,Mira Road West,Residential,10082,34.6,2.67,synthetic
Golden Nest,Mira Bhayandar,Residential,8937,23.6,3.54,synthetic
Golden Nest,Mira Road East,Residential,9095,27.4,3.9,synthetic
Shree Krishna Towers,Kashimira,Residential,8860,21.4,4.2,synthetic
Lodha Splendora,Mira Road West,Residential,8103,36.8,3.51,synthetic
Maxus Mall Residency,Mira Bhayandar,Residential,8914,16.6,3.77,synthetic
Poonam Sagar,Mira Road East,Residential,7031,41.7,3.35,synthetic
Rustomjee Urbania,Mira Bhayandar,Residential,8574,43.2,4.23,synthetic
Sheetal Tapovan,Mira Bhayandar,Residential,8107,27.7,2.62,synthetic
Sai Sarang,Mira Road West,Residential,7325,39.3,3.78,synthetic
Lodha Splendora,Kashimira,Residential,8496,28.2,4.41,synthetic
Thakur Village,Mira Road East,Residential,8409,24.5,3.8,synthetic
Kanakia Paris,Mira Road West,Residential,7329,23.8,3.3,synthetic
Sheth Vasant Oasis,Kashimira,Residential,8304,41.1,3.52,synthetic
